Programme_ID,Commodity,Revision_Number,Previous_Forecast_Spend,Forecast_Change,Forecast_Change_Direction,Forecast_Stability_Score,Relative Change
P001,Electronics,3,436179.55,-71879.25,DOWN,0.1973,-0.164792801
P001,Electronics,4,364300.3,-30687.97,DOWN,0.092,-0.084238113
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,2346034.04,-585718.08,DOWN,0.3327,-0.249663078
P001,Materials,3,1760315.96,-260407.77,DOWN,0.1736,-0.147932403
P001,Materials,4,1499908.19,-131338.2,DOWN,0.096,-0.08756416
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,4358121.72,-820580.89,DOWN,0.232,-0.18828774
P001,Electronics,3,3537540.83,-313867.4,DOWN,0.0974,-0.088724743
P001,Electronics,4,3223673.43,-190964.84,DOWN,0.063,-0.059238271
P001,Electronics,5,3032708.59,-97670.21,DOWN,0.0333,-0.032205603
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,1180734.71,-218514.16,DOWN,0.2271,-0.185066263
P001,Materials,3,962220.55,-101363.62,DOWN,0.1177,-0.105343437
P001,Materials,4,860856.93,-49823.12,DOWN,0.0614,-0.057876191
P001,Software,1,,,,,#DIV/0!
P001,Software,2,2320940.53,-570527.73,DOWN,0.3259,-0.24581747
P001,Software,3,1750412.8,-295710.66,DOWN,0.2033,-0.16893767
P001,Software,4,1454702.14,-142657.3,DOWN,0.1087,-0.09806633
P001,Software,5,1312044.84,-20703.65,DOWN,0.016,-0.015779682
P001,Software,6,1291341.19,-36827.74,DOWN,0.0294,-0.028518985
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2477351.49,-424170.23,DOWN,0.2066,-0.171219236
P001,Mechanical,3,2053181.26,-212788.02,DOWN,0.1156,-0.103638205
P001,Mechanical,4,1840393.24,-82101.34,DOWN,0.0467,-0.044610759
P001,Mechanical,5,1758291.9,-38083.99,DOWN,0.0221,-0.021659652
P001,Mechanical,6,1720207.91,-28831.37,DOWN,0.017,-0.016760398
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,809820.36,-214509.68,DOWN,0.3603,-0.264885511
P001,Logistics,3,595310.68,-104323.59,DOWN,0.2125,-0.175242262
P001,Logistics,4,490987.09,-20166.71,DOWN,0.0428,-0.041073809
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,4126092.56,-1111707.49,DOWN,0.3688,-0.269433483
P001,Mechanical,3,3014385.07,-504723.48,DOWN,0.2011,-0.167438289
P001,Mechanical,4,2509661.59,-184045.1,DOWN,0.0791,-0.073334628
P001,Mechanical,5,2325616.49,-81384.51,DOWN,0.0363,-0.034994811
P001,Software,1,,,,,#DIV/0!
P001,Software,2,2034925.3,-502219.57,DOWN,0.3277,-0.246800003
P001,Software,3,1532705.73,-196919.45,DOWN,0.1474,-0.128478315
P001,Software,4,1335786.28,-74222.74,DOWN,0.0588,-0.055564832
P001,Software,5,1261563.54,-25834.85,DOWN,0.0209,-0.020478437
P001,Services,1,,,,,#DIV/0!
P001,Services,2,1349768.82,-250807.66,DOWN,0.2282,-0.185815272
P001,Services,3,1098961.16,-115237.4,DOWN,0.1171,-0.104860303
P001,Services,1,,,,,#DIV/0!
P001,Services,2,1738665.68,-441661.46,DOWN,0.3405,-0.254023223
P001,Services,3,1297004.22,-222721.04,DOWN,0.2073,-0.171719595
P001,Services,4,1074283.18,-124182.39,DOWN,0.1307,-0.115595583
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,2777084.8,-684626.87,DOWN,0.3272,-0.246527175
P001,Materials,3,2092457.93,-333697.04,DOWN,0.1897,-0.159476105
P001,Materials,4,1758760.89,-138941.78,DOWN,0.0858,-0.078999812
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2239795.29,-470789.31,DOWN,0.2661,-0.210193008
P001,Mechanical,3,1769005.98,-196119.27,DOWN,0.1247,-0.110864108
P001,Mechanical,4,1572886.71,-94705.19,DOWN,0.0641,-0.060211069
P001,Mechanical,5,1478181.52,-42458.88,DOWN,0.0296,-0.028723725
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,2851967.32,-616284.76,DOWN,0.2757,-0.216091102
P001,Materials,3,2235682.56,-314882.79,DOWN,0.1639,-0.140844141
P001,Materials,4,1920799.77,-101555.71,DOWN,0.0558,-0.052871575
P001,Materials,5,1819244.06,-72706.31,DOWN,0.0416,-0.039965122
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,3359937.22,-772646.37,DOWN,0.2986,-0.229958573
P001,Materials,3,2587290.85,-336038.15,DOWN,0.1493,-0.129880315
P001,Materials,4,2251252.7,-143592.14,DOWN,0.0681,-0.063783217
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,1805560.81,-396078.06,DOWN,0.281,-0.219365672
P001,Electronics,3,1409482.75,-191826.94,DOWN,0.1575,-0.136097402
P001,Electronics,4,1217655.81,-94815.26,DOWN,0.0844,-0.077867045
P001,Electronics,5,1122840.55,-20308.45,DOWN,0.0184,-0.018086673
P001,Services,1,,,,,#DIV/0!
P001,Services,2,983770.58,-255613.18,DOWN,0.351,-0.259830071
P001,Services,3,728157.4,-109828.65,DOWN,0.1776,-0.150830919
P001,Services,4,618328.75,-70032.13,DOWN,0.1277,-0.113260349
P001,Services,5,548296.62,-18512.62,DOWN,0.0349,-0.033763878
P001,Services,6,529784,-17874.17,DOWN,0.0349,-0.033738599
P001,Software,1,,,,,#DIV/0!
P001,Software,2,793787.27,-213148.66,DOWN,0.3671,-0.268521137
P001,Software,3,580638.61,-97405.61,DOWN,0.2016,-0.167755999
P001,Software,4,483233,-48717.5,DOWN,0.1121,-0.100815756
P001,Services,1,,,,,#DIV/0!
P001,Services,2,696832.34,-162874.09,DOWN,0.305,-0.233734976
P001,Services,3,533958.25,-72049.77,DOWN,0.156,-0.134935213
P001,Services,4,461908.48,-27805.34,DOWN,0.0641,-0.060196643
P001,Services,5,434103.14,-20735.61,DOWN,0.0502,-0.047766552
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2401991.46,-290331.75,DOWN,0.1375,-0.120871267
P001,Mechanical,3,2111659.71,-264784.28,DOWN,0.1434,-0.125391548
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,944280.22,-132254.48,DOWN,0.1629,-0.140058509
P001,Mechanical,3,812025.74,-104134.12,DOWN,0.1471,-0.128239925
P001,Mechanical,4,707891.62,-67231.49,DOWN,0.1049,-0.09497427
P001,Mechanical,5,640660.13,-49839.36,DOWN,0.0844,-0.077793759
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,435895.29,-46603.63,DOWN,0.1197,-0.106914736
P001,Mechanical,3,389291.66,-34755.01,DOWN,0.098,-0.089277561
P001,Mechanical,4,354536.65,-25604.74,DOWN,0.0778,-0.072220291
P001,Mechanical,5,328931.91,-18490.91,DOWN,0.0596,-0.056215008
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,4350107.09,-794836.05,DOWN,0.2236,-0.182716433
P001,Logistics,3,3555271.04,-533706.06,DOWN,0.1766,-0.150116842
P001,Logistics,4,3021564.98,-379376.33,DOWN,0.1436,-0.125556237
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,4654521.06,-589052.8,DOWN,0.1449,-0.126554976
P001,Electronics,3,4065468.26,-489681.01,DOWN,0.1369,-0.120448858
P001,Electronics,4,3575787.25,-380621.52,DOWN,0.1191,-0.106444118
P001,Electronics,5,3195165.73,-267880.39,DOWN,0.0915,-0.083839279
P001,Electronics,6,2927285.34,-201155.76,DOWN,0.0738,-0.06871751
P001,Services,1,,,,,#DIV/0!
P001,Services,2,6089876.67,-865282.04,DOWN,0.1656,-0.142085314
P001,Services,3,5224594.63,-696089.63,DOWN,0.1537,-0.133233232
P001,Services,1,,,,,#DIV/0!
P001,Services,2,3658421.43,-420688.36,DOWN,0.1299,-0.114991771
P001,Services,3,3237733.07,-398566.27,DOWN,0.1404,-0.12310041
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,1188573.03,-165554.48,DOWN,0.1618,-0.139288437
P001,Materials,3,1023018.55,-113575.12,DOWN,0.1249,-0.11101961
P001,Materials,4,909443.43,-94164.2,DOWN,0.1155,-0.10354047
P001,Materials,5,815279.23,-72710.4,DOWN,0.0979,-0.089184659
P001,Materials,6,742568.83,-41843.33,DOWN,0.0597,-0.05634943
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,1507311.93,-199086.4,DOWN,0.1522,-0.132080425
P001,Logistics,3,1308225.53,-163354.48,DOWN,0.1427,-0.124867216
P001,Logistics,4,1144871.05,-117557.24,DOWN,0.1144,-0.102681643
P001,Logistics,5,1027313.81,-74284.25,DOWN,0.0779,-0.07230921
P001,Logistics,6,953029.56,-77302.74,DOWN,0.0883,-0.081112636
P001,Services,1,,,,,#DIV/0!
P001,Services,2,1616878.33,-233195.16,DOWN,0.1685,-0.144225546
P001,Services,3,1383683.17,-117950.91,DOWN,0.0932,-0.08524416
P001,Software,1,,,,,#DIV/0!
P001,Software,2,1244827.04,-202571.33,DOWN,0.1944,-0.162730503
P001,Software,3,1042255.71,-148549.95,DOWN,0.1662,-0.142527355
P001,Software,4,893705.76,-101356.41,DOWN,0.1279,-0.113411387
P001,Software,5,792349.35,-82470.17,DOWN,0.1162,-0.104083092
P001,Software,6,709879.18,-65214.19,DOWN,0.1012,-0.091866605
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,2503086.38,-424395.87,DOWN,0.2042,-0.169549031
P001,Logistics,3,2078690.51,-274010.38,DOWN,0.1518,-0.131818748
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,1031938.48,-185141.01,DOWN,0.2186,-0.179410899
P001,Mechanical,3,846797.47,-100844.29,DOWN,0.1352,-0.119089031
P001,Mechanical,4,745953.18,-79680.17,DOWN,0.1196,-0.106816583
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,4266829.35,-758279.5,DOWN,0.2161,-0.177714982
P001,Materials,3,3508549.85,-484662.22,DOWN,0.1603,-0.138137476
P001,Materials,4,3023887.63,-327318.42,DOWN,0.1214,-0.108244241
P001,Materials,5,2696569.21,-183279.06,DOWN,0.0729,-0.067967497
P001,Materials,6,2513290.15,-54297.06,DOWN,0.0221,-0.021603976
P001,Services,1,,,,,#DIV/0!
P001,Services,2,4049878.31,-760737.21,DOWN,0.2313,-0.187841992
P001,Services,3,3289141.1,-491424.16,DOWN,0.1757,-0.149408051
P001,Services,4,2797716.94,-245299.56,DOWN,0.0961,-0.087678477
P001,Services,5,2552417.38,-122138.9,DOWN,0.0503,-0.047852244
P001,Services,1,,,,,#DIV/0!
P001,Services,2,3376759.77,-639966.37,DOWN,0.2338,-0.189520846
P001,Services,3,2736793.4,-319341.8,DOWN,0.1321,-0.116684657
P001,Services,4,2417451.6,-322514.7,DOWN,0.1539,-0.133411027
P001,Services,5,2094936.9,-181138.58,DOWN,0.0946,-0.086464934
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,5462723.9,-1332547.3,DOWN,0.3226,-0.243934587
P001,Electronics,3,4130176.6,-720257.53,DOWN,0.2112,-0.174389039
P001,Electronics,4,3409919.07,-454221.09,DOWN,0.1537,-0.133205827
P001,Electronics,5,2955697.98,-276364.84,DOWN,0.1031,-0.093502395
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,2546561.25,-552802.9,DOWN,0.2773,-0.217078187
P001,Logistics,3,1993758.35,-294154.87,DOWN,0.1731,-0.147537875
P001,Logistics,4,1699603.48,-228401.32,DOWN,0.1552,-0.134385063
P001,Logistics,5,1471202.16,-116092.95,DOWN,0.0857,-0.078910263
P001,Logistics,6,1355109.21,-42169.78,DOWN,0.0321,-0.031119101
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,447284.89,-65642.88,DOWN,0.172,-0.146758546
P001,Mechanical,3,381642.01,-40498.84,DOWN,0.1187,-0.106117353
P001,Mechanical,4,341143.17,-27695.41,DOWN,0.0884,-0.081184126
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3536165.74,-591852.69,DOWN,0.201,-0.167371309
P001,Mechanical,3,2944313.05,-393839.25,DOWN,0.1544,-0.133762696
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,5775916.73,-1133522.93,DOWN,0.2442,-0.196249874
P001,Electronics,3,4642393.8,-698346.85,DOWN,0.1771,-0.15042818
P001,Electronics,4,3944046.95,-408776.6,DOWN,0.1156,-0.103643949
P001,Electronics,5,3535270.35,-274027.54,DOWN,0.084,-0.077512471
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,1203352.12,-238401.68,DOWN,0.2471,-0.198114647
P001,Electronics,3,964950.44,-161962.84,DOWN,0.2017,-0.16784576
P001,Electronics,4,802987.6,-87794.87,DOWN,0.1228,-0.109335275
P001,Electronics,5,715192.73,-50279.88,DOWN,0.0756,-0.07030256
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,2272667.22,-323033.27,DOWN,0.1657,-0.142138395
P001,Electronics,3,1949633.95,-219315.29,DOWN,0.1267,-0.112490496
P001,Electronics,4,1730318.66,-102503.29,DOWN,0.063,-0.059239545
P001,Electronics,5,1627815.37,-67813.23,DOWN,0.0435,-0.041659043
P001,Software,1,,,,,#DIV/0!
P001,Software,2,610501.06,-124588.84,DOWN,0.2564,-0.20407637
P001,Software,3,485912.22,-68579.1,DOWN,0.1643,-0.141134751
P001,Services,1,,,,,#DIV/0!
P001,Services,2,2644199.03,-659831.39,DOWN,0.3325,-0.24953923
P001,Services,3,1984367.64,-352016,DOWN,0.2156,-0.177394548
P001,Services,4,1632351.64,-214023.97,DOWN,0.1509,-0.131113888
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3283885.14,-557971.25,DOWN,0.2047,-0.169911926
P001,Mechanical,3,2725913.89,-368457.75,DOWN,0.1563,-0.135168521
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2659081.54,-401763.94,DOWN,0.178,-0.151091245
P001,Mechanical,3,2257317.6,-246260.3,DOWN,0.1225,-0.109094219
P001,Mechanical,4,2011057.3,-162420.33,DOWN,0.0879,-0.080763651
P001,Mechanical,5,1848636.97,-97818.47,DOWN,0.0559,-0.052913834
P001,Mechanical,6,1750818.5,-39970.95,DOWN,0.0234,-0.022829865
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,2755201.83,-558705.87,DOWN,0.2544,-0.202782193
P001,Materials,3,2196495.96,-363113.73,DOWN,0.1981,-0.165315
P001,Materials,4,1833382.23,-241233.4,DOWN,0.1515,-0.131578345
P001,Materials,5,1592148.83,-99005.15,DOWN,0.0663,-0.062183351
P001,Materials,6,1493143.68,-110813.62,DOWN,0.0802,-0.074214974
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,1569951.22,-234503.04,DOWN,0.1756,-0.149369635
P001,Mechanical,3,1335448.18,-176172.45,DOWN,0.152,-0.131920094
P001,Mechanical,4,1159275.73,-103133.64,DOWN,0.0977,-0.088963857
P001,Mechanical,5,1056142.09,-36395.91,DOWN,0.0357,-0.034461187
P001,Mechanical,6,1019746.18,-27693.83,DOWN,0.0279,-0.027157572
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,904829.56,-130849.27,DOWN,0.1691,-0.144612064
P001,Materials,3,773980.29,-91258.76,DOWN,0.1337,-0.117908377
P001,Materials,4,682721.53,-45808.18,DOWN,0.0719,-0.067096434
P001,Materials,5,636913.35,-32909.95,DOWN,0.0545,-0.051671
P001,Materials,6,604003.4,-24162.3,DOWN,0.0417,-0.040003583
P001,Services,1,,,,,#DIV/0!
P001,Services,2,1730695.55,-346983.07,DOWN,0.2508,-0.200487642
P001,Services,3,1383712.48,-220579.4,DOWN,0.1896,-0.159411296
P001,Services,4,1163133.08,-125087.16,DOWN,0.1205,-0.107543292
P001,Software,1,,,,,#DIV/0!
P001,Software,2,5245715.35,-1205059.06,DOWN,0.2982,-0.229722541
P001,Software,3,4040656.29,-670441.13,DOWN,0.1989,-0.165923821
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,3772593.73,-691467.23,DOWN,0.2244,-0.183286958
P001,Electronics,3,3081126.5,-446915.44,DOWN,0.1697,-0.145049364
P001,Electronics,4,2634211.06,-262370.13,DOWN,0.1106,-0.099601028
P001,Electronics,5,2371840.93,-173116.81,DOWN,0.0787,-0.072988373
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,1896507.3,-303664.12,DOWN,0.1906,-0.160117559
P001,Electronics,3,1592843.18,-200229.92,DOWN,0.1438,-0.125705984
P001,Electronics,4,1392613.26,-133864.24,DOWN,0.1063,-0.09612449
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3301906.98,-475738.83,DOWN,0.1683,-0.144080022
P001,Mechanical,3,2826168.15,-305210.41,DOWN,0.1211,-0.107994427
P001,Mechanical,4,2520957.74,-171005.25,DOWN,0.0728,-0.067833446
P001,Mechanical,5,2349952.49,-99622.53,DOWN,0.0443,-0.042393423
P001,Mechanical,6,2250329.96,-62319.38,DOWN,0.0285,-0.027693441
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3091286.52,-537295.25,DOWN,0.2104,-0.173809592
P001,Mechanical,3,2553991.27,-325634.21,DOWN,0.1461,-0.127500126
P001,Mechanical,4,2228357.06,-219989.17,DOWN,0.1095,-0.098722585
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,3548226.11,-820488.61,DOWN,0.3008,-0.231239099
P001,Materials,3,2727737.5,-376861.64,DOWN,0.1603,-0.138159057
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,5188970.1,-1513323.15,DOWN,0.4117,-0.291642295
P001,Materials,3,3675646.95,-486657.12,DOWN,0.1526,-0.132400398
P001,Materials,4,3188989.83,-269112.12,DOWN,0.0922,-0.084387889
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3628631.27,-752827.75,DOWN,0.2618,-0.207468793
P001,Mechanical,3,2875803.52,-346519.15,DOWN,0.137,-0.120494724
P001,Mechanical,4,2529284.37,-149143.59,DOWN,0.0627,-0.058966715
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,854251.4,-203043.85,DOWN,0.3118,-0.237686295
P001,Mechanical,3,651207.55,-95797.54,DOWN,0.1725,-0.147107539
P001,Mechanical,4,555410.01,-53446.3,DOWN,0.1065,-0.09622855
P001,Mechanical,5,501963.71,-26144.51,DOWN,0.0549,-0.052084462
P001,Mechanical,6,475819.2,-11253.65,DOWN,0.0242,-0.023651105
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2555237.99,-609876.48,DOWN,0.3135,-0.238676977
P001,Mechanical,3,1945361.51,-308011.72,DOWN,0.1881,-0.158331353
P001,Mechanical,4,1637349.79,-124870.35,DOWN,0.0826,-0.076263698
P001,Mechanical,5,1512479.44,-52280.1,DOWN,0.0358,-0.034565825
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,4627957.41,-1023334.92,DOWN,0.2839,-0.221120211
P001,Mechanical,3,3604622.49,-521803.86,DOWN,0.1693,-0.144759642
P001,Mechanical,4,3082818.63,-215983.91,DOWN,0.0753,-0.070060531
P001,Mechanical,5,2866834.72,-93082.87,DOWN,0.0336,-0.032468865
P001,Services,1,,,,,#DIV/0!
P001,Services,2,610601.51,-134427.46,DOWN,0.2823,-0.220155794
P001,Services,3,476174.05,-67273.72,DOWN,0.1645,-0.141279685
P001,Services,4,408900.33,-24822.9,DOWN,0.0646,-0.060706481
P001,Services,5,384077.43,-14659.16,DOWN,0.0397,-0.0381672
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,1577092.09,-287798.02,DOWN,0.2232,-0.182486503
P001,Mechanical,3,1289294.07,-143680.19,DOWN,0.1254,-0.111440976
P001,Logistics,1,,,,,#DIV/0!
P001,Logistics,2,3104607.3,-845976.87,DOWN,0.3746,-0.272490782
P001,Logistics,3,2258630.43,-409766.74,DOWN,0.2216,-0.18142266
P001,Logistics,4,1848863.69,-200963.21,DOWN,0.122,-0.108695525
P001,Electronics,1,,,,,#DIV/0!
P001,Electronics,2,424927.19,-99324.96,DOWN,0.305,-0.233745833
P001,Electronics,3,325602.23,-48142.16,DOWN,0.1735,-0.147855744
P001,Electronics,4,277460.07,-26112.3,DOWN,0.1039,-0.09411192
P001,Electronics,5,251347.77,-6341.27,DOWN,0.0259,-0.025229068
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,1476843.47,-317036.17,DOWN,0.2734,-0.214671478
P001,Materials,3,1159807.3,-141952.72,DOWN,0.1395,-0.122393367
P001,Materials,4,1017854.58,-61272.57,DOWN,0.0641,-0.060197764
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,1823192.12,-326997.3,DOWN,0.2186,-0.179354275
P001,Mechanical,3,1496194.82,-116955.77,DOWN,0.0848,-0.078168811
P001,Mechanical,4,1379239.05,-61109.17,DOWN,0.0464,-0.044306438
P001,Mechanical,5,1318129.88,-28508.46,DOWN,0.0221,-0.02162796
P001,Mechanical,6,1289621.42,-18348.94,DOWN,0.0144,-0.01422816
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,2801912.8,-555817.59,DOWN,0.2475,-0.198370767
P001,Mechanical,3,2246095.21,-315044.11,DOWN,0.1631,-0.140263026
P001,Mechanical,4,1931051.1,-90215.32,DOWN,0.049,-0.046718246
P001,Mechanical,5,1840835.78,-80042.11,DOWN,0.0455,-0.043481396
P001,Mechanical,1,,,,,#DIV/0!
P001,Mechanical,2,3538196.5,-700218.38,DOWN,0.2467,-0.197902626
P001,Mechanical,3,2837978.12,-388356.02,DOWN,0.1585,-0.1368425
P001,Mechanical,4,2449622.1,-170641.08,DOWN,0.0749,-0.069660165
P001,Materials,1,,,,,#DIV/0!
P001,Materials,2,962453.27,-171232.46,DOWN,0.2164,-0.177912492
